NAME,LOCATION,TAGS,$,MEALS SERVED,MENU,REVIEWS,TYPE OF FOOD
Darren's Restaurant,Manhattan Beach,Happy Hour Innovative All American Lively Romantic Locals Prime Location,$$$,Dinner,,,American
Doma Kitchen,Manhattan Beach,Ethnic Good for Lunch Casual Take Out Quiet,$$,"Lunch, Dinner",,,Modern European
FishBar,Manhattan Beach,Bar Scene Happy Hour Brunch Lively,$$,"Brunch, Lunch, Dinner",,,Seafood
Fishing with Dynamite,Manhattan Beach,Foodie Famous Chef Inventive Seafood Date Night Prime Location,$$$,"Lunch, Dinner",,,"Seafood, Tapas"
Four Daughters Kitchen,Manhattan Beach,Casual Beer & Wine Breakfast Outdoor Seating,$$,"Breakfast, Lunch, Dinner",,,American
Fusion Sushi,Manhattan Beach,Private Room Karoake Sushi Bar Casual,$$,"Lunch, Dinner",,,Sushi
Izaka-ya by Katsu-ya,Manhattan Beach,Sushi Date Night Authentic Good Ambiance Prime Location,$$$,"Lunch, Dinner",,,Sushi
Le Pain Quotidien,Manhattan Beach,Coffee Brunch Afternoon Snack Bakery Casual Outdoor Seating,$,"Breakfast, Lunch, Dinner",,,"French, Bakery"
Little Sister,Manhattan Beach,Foodie Famous Chef Inventive Lively Communal Tables Fusion Good Ambiance Prime Location,$$$,"Lunch, Dinner",,,Vietnamese
Love & Salt,Manhattan Beach,Foodie Famous Chef Trendy Sceney Hotspot Lively Communal Tables Prime Location,$$$,"Lunch, Dinner",,,"Italian, American"
Mangiamo,Manhattan Beach,Prime Location Romantic Date Night Upscale,$$$,Dinner,,,Italian
Manhattan Beach Post,Manhattan Beach,Prime Location Hotspot Famous Chef Communal Tables Foodie Good Drinks Lively Bar Area Open Late,$$$,"Brunch, Lunch, Dinner",,,American
Manhattan House,Manhattan Beach,New Open Late Happy Hour Gastropup,$$,Dinner,,,American
Nick's Manhattan Beach,Manhattan Beach,Classy Upscale Steakhouse Bar Area Outdoor Seating,$$,"Brunch, Lunch, Dinner",,,Steak
Pancho's,Manhattan Beach,Good Ambiance Karoake Bar Area Locals Brunch Family Friendly,$$,"Brunch, Lunch, Dinner",,,Mexican
Petros Greek Cuisine,Manhattan Beach,Outdoor Seating Good for Groups Good for Lunch Authentic Family Friendly,$$$,"Brunch, Lunch, Dinner",,,Greek
Rice,Manhattan Beach,Vegan Options GF Options Organic Beer & Wine,$$,"Lunch, Dinner",,,Japanese
Rock'N Fish,Manhattan Beach,Prime Location Lively Bar Area Casual Outdoor Seating,$$,"Brunch, Lunch, Dinner",,,Seafood
Simmzy's,Manhattan Beach,Outdoor Seating Prime Location Beer Selection Lively Casual Good For Lunch,$$,"Brunch, Lunch, Dinner",,,American
Thai Dishes,Manhattan Beach,Family Friendly Authentic Takeout,$$,"Lunch, Dinner",,,Thai
The Arthur J,Manhattan Beach,Date Night Upscale,$$$$,Dinner,,,Steakhouse
The Kettle,Manhattan Beach,Outdoor Seating Prime Location Family Open Late,$$,"Breakfast, Lunch, Dinner",,,American
The Rockefeller,Manhattan Beach,Fusion Gastropub Outdoor Seating Inventive Happy Hour,$$,"Brunch, Lunch, Dinner",,,American
The Strand House,Manhattan Beach,Special Occasion Bar Area Lively Romantic Great View Outdoor Dining Prime Location,$$$,"Brunch, Lunch, Dinner",,,American
Tin Roof Bisto,Manhattan Beach,Outdoor Dining Private Room Family Good for Lunch Bar Area Locals,$$,"Lunch, Dinner",,,American
Uncle Bill's Pancake House,Manhattan Beach,Locals Casual Cozy,$$,"Breakfast, Brunch, Lunch",,,Breakfast
