NAME,LOCATION,TAGS,$,MEALS SERVED,MENU,REVIEWS,TYPE OF FOOD
Hara Sushi,Brentwood,,,,,,
Takao,Brentwood,,,,,,
La Scala,Brentwood,,,,,,
Huckleberry,Santa Monica,"No Reservations
Worth the Lines
Healthy
Sweet Treat
Bakery",$$,"Brunch
Lunch",,,American
Milo & Olive,Santa Monica,"Italian
No Reservations
Organic
Bakery
Celeb Spotting",$$,"Brunch
Lunch
Dinner",,,"American
Italian"
Rustic Canyon,Santa Monica,"Good for Parents
Small Plates
Seasonal Vegetables
Rotating Menu",$$$,"Brunch
Dinner",,,American
Melisse,Santa Monica,"Swanky
Fancy
Special Occasion
Tasting Menu",$$$$,Dinner,,,French
El Cholo,Santa Monica,"Fun
Mexican
Lively
Good for Groups
Secret (the Nacho table)
Healthy Options",$$$,"Drinks
Dinner",,,Mexican
Stella Barra,Santa Monica,"Casual
Good for Families
Lively
No Reservations
Bar Seating",$$,"Drinks
Dinner",,,"Italian
Pizza"
Tar & Roses,Santa Monica,"Tapas
Small Plates
Vegetarian Options
Hard to get tables
Sceney
First Date
Takes Walk Ins",$$,,,,"American
Italian"
Cassia,Santa Monica,"Trendy
Sceney
Outdoor Seating
Bar Scene
Good for Parents
Fusion",$$$,"Drinks
Dinner",,,Vietnamese
Ester's,Santa Monica,"Wine Bar
Date Night
First Date
Casual
Good for Groups
Small Plates
Outdoor Seating",$$,"Drinks
Dinner",,,
Bay Cities,Santa Monica,Godmother,,,,,Italian Sandwiches
Border Grill,Santa Monica,,,,,,
Bru's Wiffle a Waffle,Santa Monica,,,,,,
Father's Office,Santa Monica,,,,,,
La Vecchia Cuchina,Santa Monica,,,,,,
Art's Table,Santa Monica,,,,,,
Sunny Blue,Santa Monica,,,,,,
Hole in the Wall,Santa Monica,,,,,,
Hamasaku,Sawtelle,,,,,,
Kiriko,Sawtelle,,,,,,
ROC Kitchen,Sawtelle,,,,,,
Tsujita,Sawtelle,,,,,,
SUGARFISH,Various,,,,,,
Lemonade,Various,,,,,,
Locanda Positano,Venice,"Hidden Gem
Great for Parents
Quiet
Authentic
Italian",$$$,,,,Italain
Gjelina,Venice,"Trendy
Sceney
Small Plates
Shareable
Date Spot
Good for Groups
Takes Reservations (Dinner only)
Hard to get a table
Vegetarian Options",$$$,"Brunch
Lunch
Dinner",,,American
Gjusta,Venice,"Trendy
Sceney
Pastries
Baked Goods
Seat Yourself
Order at Counter
Take Out Options",$$$,"Breakfast
Brunch",,,American
Tasting Kitchen,Venice,"Authentic
Sceney
First Date
Date Spot
Good for Groups
Share Plates
Baked Goods",$$$,"Brunch
Dinner",,,Italian
Cafe Gratitude,Venice,"Vegan
Good for Groups
Gluten Free
Dietary Restriction Friendly",,"Breakfast
Brunch
Lunch
Dinner",,,
Thyme,,,,,,,
"-la vecchia cucina, 17th street street bakery, gate of india, penthouse,  monsoon cafe, le pain quotiden, interactive cafe",,,,,,,
"-joe's pizza, bay cities, hole in the wall, hummus bar express, library alehouse, sunny blue, brus",,,,,,,
Tacos Por Favor,,,,,,,
Chez Jay,,,,,,,
